indic_ed,unit,geo\time	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 
FP02_1,PC,PL	1.52 	1.60 	1.58 	1.58 	1.59 	1.71 	1.69 	1.70 	1.79 	1.82 	2.69 d	: du	: du	: 	: 	: 	: 	: 	: 	: 	: 
FP02_1,PC,PT	1.46 d	1.52 d	1.56 d	1.41 d	1.42 d	1.53 d	1.60 d	1.61 d	1.63 d	1.65 d	1.63 d	: du	: du	: 	: 	: 	: 	: 	: 	: 	: 
FP02_1,PC,RO	0.49 	0.58 	0.78 	: u	0.84 	: u	1.25 d	1.20 d	1.22 d	1.26 d	1.16 d	: du	: du	: 	: 	: 	: 	: 	: 	: 	: 
FP02_1,PC,SE	1.65 	1.70 	1.75 	1.66 	1.64 	1.68 	1.81 	1.91 	1.99 	2.06 	1.93 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP02_1,PC,SI	1.60 	1.62 	2.49 d	2.35 d	2.33 d	2.55 d	2.62 d	2.63 d	2.56 d	2.50 d	2.40 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP02_1,PC,SK	0.77 d	0.87 d	0.75 d	0.65 d	0.67 	0.67 	0.66 	0.56 	0.64 	0.59 	0.59 	: u	: d	: 	: 	: 	: 	: 	: 	: 	: 
FP02_1,PC,TR	0.95 	1.71 	: 	: 	: 	1.33 	: 	1.55 d	1.37 d	1.29 d	1.32 d	1.27 d	1.55 d	: 	: 	: 	: 	: 	: 	: 	: 
FP02_1,PC,UK	1.84 d	1.85 d	1.73 d	1.67 d	1.62 d	1.58 d	1.40 d	1.34 d	1.33 d	1.20 d	1.14 d	: du	: du	: 	: 	: 	: 	: 	: 	: 	: 
FP02_2,PC,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP02_2,PC,AT	2.66 	2.65 	2.82 	2.55 	2.49 	2.54 	2.52 	2.61 	2.72 	2.64 	2.64 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP02_2,PC,BE	2.80 d	2.80 d	2.85 d	2.78 d	2.58 d	2.55 d	2.55 d	2.56 d	2.56 d	2.71 d	2.60 d	: du	: du	: 	: 	: 	: 	: 	: 	: 	: 
FP02_2,PC,BG	1.59 	1.76 	1.87 	1.89 	1.73 	1.81 	1.95 	2.02 	1.83 	1.72 	1.55 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP02_2,PC,CH	2.10 	2.16 	2.22 	2.06 	2.06 	2.17 	2.28 	2.25 	2.34 	2.34 	2.22 	2.17 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP02_2,PC,CY	3.09 d	3.14 d	3.30 d	3.16 d	3.04 d	3.08 d	3.12 d	3.08 d	3.38 d	3.05 d	2.78 d	: du	: du	: 	: 	: 	: 	: 	: 	: 	: 
FP02_2,PC,CZ	1.96 	1.98 	2.06 	1.92 	1.96 	2.13 	2.14 	2.17 	2.23 	2.14 	2.01 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP02_2,PC,DE	2.37 	2.46 	2.48 	2.23 	2.25 	2.19 	2.29 	2.33 	2.41 	2.40 	2.31 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP02_2,PC,DK	2.81 d	3.04 d	2.94 d	2.76 d	2.80 d	2.95 d	3.02 d	2.94 d	2.88 d	2.89 	2.87 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP02_2,PC,EE	2.17 	2.57 d	2.68 d	2.51 	2.19 d	2.28 	2.33 	2.45 	2.55 	2.44 	2.33 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP02_2,PC,EL	: 	: 	: 	: 	: 	: 	1.45 	1.34 d	1.33 d	1.26 d	1.25 d	: du	: du	: 	: 	: 	: 	: 	: 	: 	: 
FP02_2,PC,ES	1.79 	1.84 	1.88 	1.74 	1.66 	1.67 	1.67 	1.69 	1.72 	1.76 	1.77 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP02_2,PC,FI	2.84 	2.91 	2.90 	2.61 	2.51 	2.61 	2.64 	2.63 	2.64 	2.52 	2.43 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP02_2,PC,FR	2.54 	2.66 	2.69 	2.58 	2.56 	2.64 	2.68 	2.76 	2.84 	2.87 	2.88 	2.93 	2.91 d	: 	: 	: 	: 	: 	: 	: 	: 
FP02_2,PC,HR	0.86 d	0.98 d	1.06 d	0.92 d	0.86 d	0.90 d	0.91 d	0.89 	0.91 d	0.88 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP02_2,PC,HU	1.96 	2.07 	2.22 	2.25 	2.33 	2.34 	2.36 	2.46 	2.71 	2.29 	2.15 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP02_2,PC,IE	2.52 	2.62 	2.55 	2.31 	2.04 	1.99 	2.03 	2.00 	1.71 	1.63 	1.61 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP02_2,PC,IS	2.34 d	2.37 	2.50 d	2.41 d	2.40 d	2.54 d	2.56 d	2.60 d	2.52 d	2.60 d	2.51 d	2.27 d	2.32 d	: 	: 	: 	: 	: 	: 	: 	: 
FP02_2,PC,IT	1.96 	2.08 	2.18 	2.08 	1.97 	2.23 	2.11 	2.16 	2.29 	2.17 	2.41 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP02_2,PC,LI	1.24 	1.15 	1.30 	1.10 	0.92 	0.98 	1.09 	1.05 	1.06 	0.80 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP02_2,PC,LT	2.21 	2.51 	3.03 	2.59 	2.40 	2.51 	2.54 	2.71 	2.66 	2.63 	3.71 d	: du	: du	: 	: 	: 	: 	: 	: 	: 	: 
FP02_2,PC,LU	1.53 	1.71 	1.94 d	1.83 d	1.46 d	1.58 d	1.73 d	1.75 d	1.82 d	1.78 d	1.62 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP02_2,PC,LV	1.75 	1.93 	2.27 	2.35 	2.14 	2.24 	2.80 	2.93 	3.13 	3.62 	3.80 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP02_2,PC,MK	: 	: 	: 	: 	: 	: 	: 	: 	0.79 d	0.80 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP02_2,PC,MT	5.25 	3.25 	2.61 	3.02 d	2.75 	2.95 	2.84 b	1.86 	1.51 	2.01 	2.03 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP02_2,PC,NL	2.39 	2.44 	2.43 	2.24 	2.16 	2.20 	2.19 	2.17 	2.11 	2.06 	2.04 	2.01 	1.94 	1.95 	1.86 	1.98 	1.99 	: 	: 	: 	: 
FP02_2,PC,NO	2.28 	2.43 	2.54 	2.23 	2.33 	2.28 	2.33 	2.61 	2.72 	2.51 	1.42 d	1.36 d	1.53 d	: 	: 	: 	: 	: 	: 	: 	: 
FP02_2,PC,PL	1.76 	1.87 	1.92 	1.89 	1.89 	2.05 	2.04 	2.01 	2.06 	2.10 	1.23 d	: du	: du	: 	: 	: 	: 	: 	: 	: 	: 
FP02_2,PC,PT	2.30 d	2.48 d	2.60 d	2.06 d	2.02 d	2.05 d	2.13 d	2.12 d	2.20 d	2.25 d	2.29 d	: du	: du	: 	: 	: 	: 	: 	: 	: 	: 
FP02_2,PC,RO	1.07 	1.28 	1.53 	: u	1.52 	: u	0.77 d	0.73 d	0.71 d	0.76 d	0.87 d	: du	: du	: 	: 	: 	: 	: 	: 	: 	: 
FP02_2,PC,SE	2.47 	2.55 	2.75 	2.60 	2.58 	2.64 	2.65 	2.66 	2.66 	2.71 	2.69 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP02_2,PC,SI	2.07 	2.11 	1.25 d	1.15 d	1.16 d	1.42 d	1.38 d	1.34 d	1.41 d	1.41 d	1.61 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP02_2,PC,SK	1.81 d	1.98 d	1.93 d	1.65 d	1.69 d	1.76 d	1.88 d	2.11 d	2.17 d	2.29 d	2.05 d	: du	: du	: 	: 	: 	: 	: 	: 	: 	: 
FP02_2,PC,TR	1.41 	0.82 	: 	: 	: 	0.62 	: 	0.68 d	0.63 d	0.58 d	0.52 d	0.52 d	0.58 d	: 	: 	: 	: 	: 	: 	: 	: 
FP02_2,PC,UK	2.49 d	2.97 d	2.73 d	2.49 d	2.40 d	2.33 d	2.41 d	2.45 d	2.51 d	2.39 d	2.21 d	: du	: du	: 	: 	: 	: 	: 	: 	: 	: 
FP02_3,PC,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP02_3,PC,AT	1.56 	1.64 	1.57 	1.49 	1.48 	1.47 	1.48 	1.43 	1.30 	1.28 	1.36 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP02_3,PC,BE	1.44 d	1.46 d	1.47 d	1.37 d	1.30 d	1.32 d	1.28 d	1.29 d	1.31 d	1.32 d	1.34 d	: du	: du	: 	: 	: 	: 	: 	: 	: 	: 
FP02_3,PC,BG	0.65 	0.61 	0.95 	0.86 	0.64 	0.70 	0.72 	0.78 	0.81 	0.81 	0.81 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP02_3,PC,CH	1.37 	1.32 	1.35 	1.22 	1.14 	1.39 	1.41 	1.42 	1.47 	1.37 	1.24 	1.15 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP02_3,PC,CY	2.11 d	2.12 d	2.06 d	1.86 d	1.62 d	1.65 d	1.59 d	1.49 d	1.57 d	1.39 d	1.15 d	: du	: du	: 	: 	: 	: 	: 	: 	: 	: 
FP02_3,PC,CZ	1.16 	0.96 	1.01 	0.93 	1.03 	1.18 	0.86 	0.90 	0.90 	0.83 	0.76 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP02_3,PC,DE	1.40 	1.38 	1.34 	1.22 	1.14 	1.11 	1.15 	1.17 	1.20 	1.16 	1.10 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP02_3,PC,DK	2.44 d	2.41 d	2.42 d	2.17 d	2.28 d	2.26 d	2.38 d	2.51 d	2.50 d	2.70 d	2.71 d	: du	: du	: 	: 	: 	: 	: 	: 	: 	: 
FP02_3,PC,EE	1.29 	1.23 	1.33 	1.12 	1.04 	0.90 	0.92 	0.86 	1.02 	1.08 	1.03 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP02_3,PC,EL	: 	: 	: 	: 	: 	: 	1.48 d	1.33 d	1.10 d	1.16 d	1.07 d	: du	: du	: 	: 	: 	: 	: 	: 	: 	: 
FP02_3,PC,ES	1.13 	1.17 	1.15 d	1.07 d	0.99 d	0.95 d	0.95 d	0.97 d	0.99 d	0.97 	0.97 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP02_3,PC,FI	2.17 	2.18 	2.16 	1.89 	1.85 	1.96 	2.00 	2.07 	2.06 	2.02 	2.00 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP02_3,PC,FR	1.29 	1.33 	1.34 	1.25 	1.23 	1.20 	1.20 	1.21 	1.23 	1.22 	1.21 	1.22 	1.02 d	: 	: 	: 	: 	: 	: 	: 	: 
FP02_3,PC,HR	0.93 d	0.79 d	0.83 d	0.95 d	0.80 d	0.86 d	0.75 d	0.70 	0.73 d	0.59 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP02_3,PC,HU	1.10 	0.98 	1.13 	1.02 	1.04 	1.04 	1.03 	1.02 	1.22 	1.23 	1.09 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP02_3,PC,IE	1.34 	1.42 d	1.53 d	1.32 d	1.15 d	1.13 d	1.10 d	1.09 d	1.08 d	1.18 	1.21 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP02_3,PC,IS	1.43 d	1.63 	1.59 d	1.49 d	1.39 d	1.36 d	1.45 d	1.39 d	1.33 d	1.25 d	1.07 d	1.04 d	1.04 d	: 	: 	: 	: 	: 	: 	: 	: 
